"beginTime";"peakTime";"endTime";"classType";"classTypeNumber";"sourceLocation";"lat";"lon";"farestStartDate";"farestEndDate"
"2015-03-12T04:41Z";"2015-03-12T04:46Z";"2015-03-12T04:50Z";"M3.2";33,2;"S15E11";"-15";"+11";NA;NA
"2015-03-12T11:38Z";"2015-03-12T11:50Z";"2015-03-12T12:02Z";"M1.6";31,6;"S17E11";"-17";"+11";NA;NA
"2015-03-12T12:09Z";"2015-03-12T12:14Z";"2015-03-12T12:18Z";"M1.4";31,4;"S18E05";"-18";"+05";NA;NA
"2015-03-12T13:50Z";"2015-03-12T14:08Z";"2015-03-12T14:13Z";"M4.2";34,2;"S14E06";"-14";"+06";NA;NA
"2015-03-12T21:44Z";"2015-03-12T21:51Z";"2015-03-12T21:56Z";"M2.7";32,7;"S15E01";"-15";"+01";NA;NA
"2015-03-13T03:47Z";"2015-03-13T04:01Z";"2015-03-13T04:16Z";"M1.2";31,2;"S17E04";"-17";"+04";NA;NA
"2015-03-13T05:49Z";"2015-03-13T06:07Z";"2015-03-13T06:12Z";"M1.8";31,8;"S14W02";"-14";"-02";NA;NA
"2015-03-14T04:23Z";"2015-03-14T04:40Z";"2015-03-14T04:54Z";"M1.3";31,3;"S15W13";"-15";"-13";NA;NA
"2015-03-15T01:15Z";"2015-03-15T02:13Z";"2015-03-15T02:13Z";"C9.1";29,1;"S22W29";"-22";"-29";NA;NA
"2015-03-15T09:36Z";"2015-03-15T09:40Z";"2015-03-15T09:46Z";"M1.0";31;"S18W24";"-18";"-24";NA;NA
"2015-03-15T22:42Z";"2015-03-15T23:22Z";"2015-03-15T23:38Z";"M1.2";31,2;"S19W32";"-19";"-32";NA;NA
"2015-03-16T10:39Z";"2015-03-16T10:58Z";"2015-03-16T11:17Z";"M1.6";31,6;"S17W38";"-17";"-38";NA;NA
"2015-03-17T22:49Z";"2015-03-17T23:34Z";"2015-03-17T23:48Z";"M1.0";31;"S17W64";"-17";"-64";NA;NA
"2015-04-08T14:37Z";"2015-04-08T14:43Z";"2015-04-08T14:47Z";"M1.4";31,4;"S13W4";"-13";"-4";NA;NA
"2015-04-12T08:51Z";"2015-04-12T09:50Z";"2015-04-12T10:44Z";"M1.1";31,1;"N11E78";"+11";"+78";NA;NA
"2015-04-18T14:03Z";"2015-04-18T14:19Z";"2015-04-18T14:39Z";"C5.2";25,2;"N11W24";"+11";"-24";NA;NA
"2015-04-21T07:08Z";"2015-04-21T07:21Z";"2015-04-21T07:27Z";"M1.0";31;"N09W80";"+09";"-80";NA;NA
